date,vol_title,vol_num,page_num,session,year,image_url
1925-04-01,AU NBAC N193-098,98,1,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0001.jpg
1925-04-01,AU NBAC N193-098,98,2,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0002.jpg
1925-04-01,AU NBAC N193-098,98,3,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0003.jpg
1925-04-02,AU NBAC N193-098,98,4,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0004.jpg
1925-04-02,AU NBAC N193-098,98,5,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0005.jpg
1925-04-02,AU NBAC N193-098,98,6,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0006.jpg
1925-04-02,AU NBAC N193-098,98,7,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0007.jpg
1925-04-02,AU NBAC N193-098,98,8,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0008.jpg
1925-04-03,AU NBAC N193-098,98,9,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0009.jpg
1925-04-03,AU NBAC N193-098,98,10,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0010.jpg
1925-04-03,AU NBAC N193-098,98,11,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0011.jpg
1925-04-03,AU NBAC N193-098,98,12,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0012.jpg
1925-04-03,AU NBAC N193-098,98,13,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0013.jpg
1925-04-04,AU NBAC N193-098,98,14,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0014.jpg
1925-04-04,AU NBAC N193-098,98,15,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0015.jpg
1925-04-06,AU NBAC N193-098,98,16,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0016.jpg
1925-04-06,AU NBAC N193-098,98,17,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0017.jpg
1925-04-06,AU NBAC N193-098,98,18,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0018.jpg
1925-04-06,AU NBAC N193-098,98,19,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0019.jpg
1925-04-06,AU NBAC N193-098,98,20,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0020.jpg
1925-04-07,AU NBAC N193-098,98,21,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0021.jpg
1925-04-07,AU NBAC N193-098,98,22,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0022.jpg
1925-04-07,AU NBAC N193-098,98,23,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0023.jpg
1925-04-07,AU NBAC N193-098,98,24,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0024.jpg
1925-04-07,AU NBAC N193-098,98,25,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0025.jpg
1925-04-08,AU NBAC N193-098,98,26,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0026.jpg
1925-04-08,AU NBAC N193-098,98,27,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0027.jpg
1925-04-08,AU NBAC N193-098,98,28,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0028.jpg
1925-04-16,AU NBAC N193-098,98,29,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0029.jpg
1925-04-16,AU NBAC N193-098,98,30,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0030.jpg
1925-04-16,AU NBAC N193-098,98,31,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0031.jpg
1925-04-16,AU NBAC N193-098,98,32,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0032.jpg
1925-04-16,AU NBAC N193-098,98,33,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0033.jpg
1925-04-17,AU NBAC N193-098,98,34,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0034.jpg
1925-04-17,AU NBAC N193-098,98,35,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0035.jpg
1925-04-17,AU NBAC N193-098,98,36,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0036.jpg
1925-04-17,AU NBAC N193-098,98,37,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0037.jpg
1925-04-17,AU NBAC N193-098,98,38,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0038.jpg
1925-04-18,AU NBAC N193-098,98,39,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0039.jpg
1925-04-18,AU NBAC N193-098,98,40,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0040.jpg
1925-04-20,AU NBAC N193-098,98,41,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0041.jpg
1925-04-20,AU NBAC N193-098,98,42,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0042.jpg
1925-04-20,AU NBAC N193-098,98,43,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0043.jpg
1925-04-20,AU NBAC N193-098,98,44,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0044.jpg
1925-04-20,AU NBAC N193-098,98,45,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0045.jpg
1925-04-21,AU NBAC N193-098,98,46,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0046.jpg
1925-04-21,AU NBAC N193-098,98,47,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0047.jpg
1925-04-21,AU NBAC N193-098,98,48,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0048.jpg
1925-04-21,AU NBAC N193-098,98,49,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0049.jpg
1925-04-21,AU NBAC N193-098,98,50,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0050.jpg
1925-04-22,AU NBAC N193-098,98,51,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0051.jpg
1925-04-22,AU NBAC N193-098,98,52,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0052.jpg
1925-04-22,AU NBAC N193-098,98,53,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0053.jpg
1925-04-22,AU NBAC N193-098,98,54,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0054.jpg
1925-04-22,AU NBAC N193-098,98,55,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0055.jpg
1925-04-23,AU NBAC N193-098,98,56,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0056.jpg
1925-04-23,AU NBAC N193-098,98,57,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0057.jpg
1925-04-23,AU NBAC N193-098,98,58,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0058.jpg
1925-04-23,AU NBAC N193-098,98,59,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0059.jpg
1925-04-23,AU NBAC N193-098,98,60,A,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0060.jpg
1925-04-24,AU NBAC N193-098,98,61,M,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0061.jpg
1925-04-24,AU NBAC N193-098,98,62,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0062.jpg
1925-04-24,AU NBAC N193-098,98,63,N,1925,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-098&files=N193-098_0063.jpg
