date,vol_title,vol_num,page_num,session,year,image_url
1907-01-03,AU NBAC N193-025,25,1,M,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0001.jpg
1907-01-03,AU NBAC N193-025,25,2,N,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0002.jpg
1907-01-03,AU NBAC N193-025,25,3,N,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0003.jpg
1907-01-03,AU NBAC N193-025,25,4,A,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0004.jpg
1907-01-03,AU NBAC N193-025,25,5,A,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0005.jpg
1907-01-04,AU NBAC N193-025,25,6,M,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0006.jpg
1907-01-04,AU NBAC N193-025,25,7,N,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0007.jpg
1907-01-04,AU NBAC N193-025,25,8,N,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0008.jpg
1907-01-04,AU NBAC N193-025,25,9,A,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0009.jpg
1907-01-04,AU NBAC N193-025,25,10,A,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0010.jpg
1907-01-05,AU NBAC N193-025,25,11,M,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0011.jpg
1907-01-05,AU NBAC N193-025,25,12,M,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0012.jpg
1907-01-07,AU NBAC N193-025,25,13,M,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0013.jpg
1907-01-07,AU NBAC N193-025,25,14,N,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0014.jpg
1907-01-07,AU NBAC N193-025,25,15,N,1907,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-025&files=N193-025_0015.jpg
