date,vol_title,vol_num,page_num,session,year,image_url
1909-10-01,AU NBAC N193-036,36,1,M,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0001.jpg
1909-10-01,AU NBAC N193-036,36,2,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0002.jpg
1909-10-01,AU NBAC N193-036,36,3,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0003.jpg
1909-10-01,AU NBAC N193-036,36,4,A,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0004.jpg
1909-10-01,AU NBAC N193-036,36,5,A,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0005.jpg
1909-10-02,AU NBAC N193-036,36,6,M,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0006.jpg
1909-10-02,AU NBAC N193-036,36,7,M,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0007.jpg
1909-10-05,AU NBAC N193-036,36,8,M,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0008.jpg
1909-10-05,AU NBAC N193-036,36,9,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0009.jpg
1909-10-05,AU NBAC N193-036,36,10,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0010.jpg
1909-10-05,AU NBAC N193-036,36,11,A,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0011.jpg
1909-10-05,AU NBAC N193-036,36,12,A,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0012.jpg
1909-10-06,AU NBAC N193-036,36,13,M,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0013.jpg
1909-10-06,AU NBAC N193-036,36,14,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0014.jpg
1909-10-06,AU NBAC N193-036,36,15,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0015.jpg
1909-10-06,AU NBAC N193-036,36,16,A,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0016.jpg
1909-10-06,AU NBAC N193-036,36,17,A,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0017.jpg
1909-10-07,AU NBAC N193-036,36,18,M,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0018.jpg
1909-10-07,AU NBAC N193-036,36,19,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0019.jpg
1909-10-07,AU NBAC N193-036,36,20,N,1909,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-036&files=N193-036_0020.jpg
