date,vol_title,vol_num,page_num,session,year,image_url
1917-07-02,AU NBAC N193-067,67,1,M,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0001.jpg
1917-07-02,AU NBAC N193-067,67,2,N,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0002.jpg
1917-07-02,AU NBAC N193-067,67,3,N,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0003.jpg
1917-07-02,AU NBAC N193-067,67,4,A,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0004.jpg
1917-07-02,AU NBAC N193-067,67,5,A,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0005.jpg
1917-07-03,AU NBAC N193-067,67,6,M,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0006.jpg
1917-07-03,AU NBAC N193-067,67,7,N,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0007.jpg
1917-07-03,AU NBAC N193-067,67,8,N,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0008.jpg
1917-07-03,AU NBAC N193-067,67,9,A,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0009.jpg
1917-07-03,AU NBAC N193-067,67,10,A,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0010.jpg
1917-07-04,AU NBAC N193-067,67,11,M,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0011.jpg
1917-07-04,AU NBAC N193-067,67,12,N,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0012.jpg
1917-07-04,AU NBAC N193-067,67,13,N,1917,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-067&files=N193-067_0013.jpg
