date,vol_title,vol_num,page_num,session,year,image_url
1911-07-01,AU NBAC N193-043,43,1,M,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0001.jpg
1911-07-01,AU NBAC N193-043,43,2,M,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0002.jpg
1911-07-03,AU NBAC N193-043,43,3,M,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0003.jpg
1911-07-03,AU NBAC N193-043,43,4,N,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0004.jpg
1911-07-03,AU NBAC N193-043,43,5,N,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0005.jpg
1911-07-03,AU NBAC N193-043,43,6,A,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0006.jpg
1911-07-03,AU NBAC N193-043,43,7,A,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0007.jpg
1911-07-04,AU NBAC N193-043,43,8,M,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0008.jpg
1911-07-04,AU NBAC N193-043,43,9,N,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0009.jpg
1911-07-04,AU NBAC N193-043,43,10,N,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0010.jpg
1911-07-04,AU NBAC N193-043,43,11,A,1911,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-043&files=N193-043_0011.jpg
