date,vol_title,vol_num,page_num,session,year,image_url
1908-01-06,AU NBAC N193-029,29,1,M,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0001.jpg
1908-01-06,AU NBAC N193-029,29,2,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0002.jpg
1908-01-06,AU NBAC N193-029,29,3,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0003.jpg
1908-01-06,AU NBAC N193-029,29,4,A,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0004.jpg
1908-01-06,AU NBAC N193-029,29,5,A,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0005.jpg
1908-01-07,AU NBAC N193-029,29,6,M,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0006.jpg
1908-01-07,AU NBAC N193-029,29,7,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0007.jpg
1908-01-07,AU NBAC N193-029,29,8,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0008.jpg
1908-01-07,AU NBAC N193-029,29,9,A,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0009.jpg
1908-01-07,AU NBAC N193-029,29,10,A,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0010.jpg
1908-01-08,AU NBAC N193-029,29,11,M,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0011.jpg
1908-01-08,AU NBAC N193-029,29,12,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0012.jpg
1908-01-08,AU NBAC N193-029,29,13,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0013.jpg
1908-01-08,AU NBAC N193-029,29,14,A,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0014.jpg
1908-01-08,AU NBAC N193-029,29,15,A,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0015.jpg
1908-01-09,AU NBAC N193-029,29,16,M,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0016.jpg
1908-01-09,AU NBAC N193-029,29,17,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0017.jpg
1908-01-09,AU NBAC N193-029,29,18,N,1908,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-029&files=N193-029_0018.jpg
