date,vol_title,vol_num,page_num,session,year,image_url
1920-04-08,AU NBAC N193-078,78,1,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0001.jpg
1920-04-08,AU NBAC N193-078,78,2,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0002.jpg
1920-04-08,AU NBAC N193-078,78,3,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0003.jpg
1920-04-08,AU NBAC N193-078,78,4,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0004.jpg
1920-04-08,AU NBAC N193-078,78,5,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0005.jpg
1920-04-09,AU NBAC N193-078,78,6,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0006.jpg
1920-04-09,AU NBAC N193-078,78,7,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0007.jpg
1920-04-09,AU NBAC N193-078,78,8,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0008.jpg
1920-04-09,AU NBAC N193-078,78,9,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0009.jpg
1920-04-09,AU NBAC N193-078,78,10,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0010.jpg
1920-04-10,AU NBAC N193-078,78,11,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0011.jpg
1920-04-10,AU NBAC N193-078,78,12,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0012.jpg
1920-04-12,AU NBAC N193-078,78,13,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0013.jpg
1920-04-12,AU NBAC N193-078,78,14,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0014.jpg
1920-04-12,AU NBAC N193-078,78,15,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0015.jpg
1920-04-12,AU NBAC N193-078,78,16,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0016.jpg
1920-04-12,AU NBAC N193-078,78,17,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0017.jpg
1920-04-13,AU NBAC N193-078,78,18,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0018.jpg
1920-04-13,AU NBAC N193-078,78,19,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0019.jpg
1920-04-13,AU NBAC N193-078,78,20,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0020.jpg
1920-04-13,AU NBAC N193-078,78,21,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0021.jpg
1920-04-13,AU NBAC N193-078,78,22,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0022.jpg
1920-04-14,AU NBAC N193-078,78,23,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0023.jpg
1920-04-14,AU NBAC N193-078,78,24,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0024.jpg
1920-04-14,AU NBAC N193-078,78,25,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0025.jpg
1920-04-14,AU NBAC N193-078,78,26,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0026.jpg
1920-04-14,AU NBAC N193-078,78,27,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0027.jpg
1920-04-15,AU NBAC N193-078,78,28,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0028.jpg
1920-04-15,AU NBAC N193-078,78,29,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0029.jpg
1920-04-15,AU NBAC N193-078,78,30,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0030.jpg
1920-04-15,AU NBAC N193-078,78,31,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0031.jpg
1920-04-15,AU NBAC N193-078,78,32,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0032.jpg
1920-04-16,AU NBAC N193-078,78,33,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0033.jpg
1920-04-16,AU NBAC N193-078,78,34,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0034.jpg
1920-04-16,AU NBAC N193-078,78,35,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0035.jpg
1920-04-16,AU NBAC N193-078,78,36,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0036.jpg
1920-04-16,AU NBAC N193-078,78,37,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0037.jpg
1920-04-17,AU NBAC N193-078,78,38,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0038.jpg
1920-04-17,AU NBAC N193-078,78,39,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0039.jpg
1920-04-19,AU NBAC N193-078,78,40,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0040.jpg
1920-04-19,AU NBAC N193-078,78,41,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0041.jpg
1920-04-19,AU NBAC N193-078,78,42,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0042.jpg
1920-04-19,AU NBAC N193-078,78,43,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0043.jpg
1920-04-19,AU NBAC N193-078,78,44,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0044.jpg
1920-04-20,AU NBAC N193-078,78,45,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0045.jpg
1920-04-20,AU NBAC N193-078,78,46,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0046.jpg
1920-04-20,AU NBAC N193-078,78,47,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0047.jpg
1920-04-20,AU NBAC N193-078,78,48,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0048.jpg
1920-04-20,AU NBAC N193-078,78,49,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0049.jpg
1920-04-21,AU NBAC N193-078,78,50,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0050.jpg
1920-04-21,AU NBAC N193-078,78,51,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0051.jpg
1920-04-21,AU NBAC N193-078,78,52,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0052.jpg
1920-04-21,AU NBAC N193-078,78,53,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0053.jpg
1920-04-21,AU NBAC N193-078,78,54,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0054.jpg
1920-04-22,AU NBAC N193-078,78,55,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0055.jpg
1920-04-22,AU NBAC N193-078,78,56,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0056.jpg
1920-04-22,AU NBAC N193-078,78,57,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0057.jpg
1920-04-22,AU NBAC N193-078,78,58,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0058.jpg
1920-04-22,AU NBAC N193-078,78,59,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0059.jpg
1920-04-23,AU NBAC N193-078,78,60,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0060.jpg
1920-04-23,AU NBAC N193-078,78,61,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0061.jpg
1920-04-23,AU NBAC N193-078,78,62,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0062.jpg
1920-04-23,AU NBAC N193-078,78,63,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0063.jpg
1920-04-23,AU NBAC N193-078,78,64,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0064.jpg
1920-04-24,AU NBAC N193-078,78,65,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0065.jpg
1920-04-24,AU NBAC N193-078,78,66,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0066.jpg
1920-04-27,AU NBAC N193-078,78,67,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0067.jpg
1920-04-27,AU NBAC N193-078,78,68,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0068.jpg
1920-04-27,AU NBAC N193-078,78,69,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0069.jpg
1920-04-27,AU NBAC N193-078,78,70,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0070.jpg
1920-04-27,AU NBAC N193-078,78,71,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0071.jpg
1920-04-28,AU NBAC N193-078,78,72,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0072.jpg
1920-04-28,AU NBAC N193-078,78,73,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0073.jpg
1920-04-28,AU NBAC N193-078,78,74,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0074.jpg
1920-04-28,AU NBAC N193-078,78,75,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0075.jpg
1920-04-28,AU NBAC N193-078,78,76,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0076.jpg
1920-04-29,AU NBAC N193-078,78,77,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0077.jpg
1920-04-29,AU NBAC N193-078,78,78,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0078.jpg
1920-04-29,AU NBAC N193-078,78,79,N,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0079.jpg
1920-04-29,AU NBAC N193-078,78,80,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0080.jpg
1920-04-29,AU NBAC N193-078,78,81,A,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0081.jpg
1920-04-30,AU NBAC N193-078,78,82,M,1920,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-078&files=N193-078_0082.jpg
