date,vol_title,vol_num,page_num,session,year,image_url
1926-10-01,AU NBAC N193-104,104,1,M,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0001.jpg
1926-10-01,AU NBAC N193-104,104,2,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0002.jpg
1926-10-01,AU NBAC N193-104,104,3,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0003.jpg
1926-10-01,AU NBAC N193-104,104,4,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0004.jpg
1926-10-01,AU NBAC N193-104,104,5,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0005.jpg
1926-10-02,AU NBAC N193-104,104,6,M,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0006.jpg
1926-10-02,AU NBAC N193-104,104,7,M,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0007.jpg
1926-10-05,AU NBAC N193-104,104,8,M,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0008.jpg
1926-10-05,AU NBAC N193-104,104,9,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0009.jpg
1926-10-05,AU NBAC N193-104,104,10,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0010.jpg
1926-10-05,AU NBAC N193-104,104,11,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0011.jpg
1926-10-05,AU NBAC N193-104,104,12,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0012.jpg
1926-10-06,AU NBAC N193-104,104,13,M,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0013.jpg
1926-10-06,AU NBAC N193-104,104,14,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0014.jpg
1926-10-06,AU NBAC N193-104,104,15,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0015.jpg
1926-10-06,AU NBAC N193-104,104,16,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0016.jpg
1926-10-06,AU NBAC N193-104,104,17,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0017.jpg
1926-10-07,AU NBAC N193-104,104,18,M,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0018.jpg
1926-10-07,AU NBAC N193-104,104,19,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0019.jpg
1926-10-07,AU NBAC N193-104,104,20,N,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0020.jpg
1926-10-07,AU NBAC N193-104,104,21,A,1926,https://cloudstor.aarnet.edu.au/plus/s/i02k4gxeEpMAUkm/download?path=AU%20NBAC%20N193-104&files=N193-104_0021.jpg
