date,day,pages,reason
1901-07-14,Sunday,0,Sunday
1901-07-15,Monday,5,
1901-07-16,Tuesday,5,
1901-07-17,Wednesday,5,
1901-07-18,Thursday,5,
1901-07-19,Friday,5,
1901-07-20,Saturday,2,
1901-07-21,Sunday,0,Sunday
1901-07-22,Monday,5,
1901-07-23,Tuesday,5,
1901-07-24,Wednesday,5,
1901-07-25,Thursday,5,
1901-07-26,Friday,5,
1901-07-27,Saturday,2,
1901-07-28,Sunday,0,Sunday
1901-07-29,Monday,5,
1901-07-30,Tuesday,5,
1901-07-31,Wednesday,5,
1901-08-01,Thursday,5,
1901-08-02,Friday,5,
1901-08-03,Saturday,2,
1901-08-04,Sunday,0,Sunday
1901-08-05,Monday,0,Bank Holiday
1901-08-06,Tuesday,5,
1901-08-07,Wednesday,5,
1901-08-08,Thursday,5,
1901-08-09,Friday,5,
1901-08-10,Saturday,2,
1901-08-11,Sunday,0,Sunday
1901-08-12,Monday,5,
1901-08-13,Tuesday,5,
1901-08-14,Wednesday,5,
1901-08-15,Thursday,5,
1901-08-16,Friday,5,
1901-08-17,Saturday,2,
1901-08-18,Sunday,0,Sunday
1901-08-19,Monday,5,
1901-08-20,Tuesday,5,
1901-08-21,Wednesday,5,
1901-08-22,Thursday,5,
1901-08-23,Friday,5,
1901-08-24,Saturday,2,
1901-08-25,Sunday,0,Sunday
1901-08-26,Monday,5,
1901-08-27,Tuesday,5,
1901-08-28,Wednesday,5,
1901-08-29,Thursday,5,
1901-08-30,Friday,5,
1901-08-31,Saturday,2,
1901-09-01,Sunday,0,Sunday
1901-09-02,Monday,5,
1901-09-03,Tuesday,5,
1901-09-04,Wednesday,5,
1901-09-05,Thursday,5,
1901-09-06,Friday,5,
1901-09-07,Saturday,2,
1901-09-08,Sunday,0,Sunday
1901-09-09,Monday,5,
1901-09-10,Tuesday,5,
1901-09-11,Wednesday,5,
1901-09-12,Thursday,5,
1901-09-13,Friday,5,
1901-09-14,Saturday,2,
1901-09-15,Sunday,0,Sunday
1901-09-16,Monday,4,
1901-09-17,Tuesday,5,
1901-09-18,Wednesday,5,
1901-09-19,Thursday,5,
1901-09-20,Friday,5,
1901-09-21,Saturday,2,
1901-09-22,Sunday,0,Sunday
1901-09-23,Monday,5,
1901-09-24,Tuesday,5,
1901-09-25,Wednesday,5,
1901-09-26,Thursday,5,
1901-09-27,Friday,5,
1901-09-28,Saturday,2,
1901-09-29,Sunday,0,Sunday
1901-09-30,Monday,5,
1901-10-01,Tuesday,5,
1901-10-02,Wednesday,5,
1901-10-03,Thursday,5,
1901-10-04,Friday,5,
1901-10-05,Saturday,2,
1901-10-06,Sunday,0,Sunday
1901-10-07,Monday,0,Labour Day
1901-10-08,Tuesday,5,
1901-10-09,Wednesday,5,
1901-10-10,Thursday,4,
1901-10-11,Friday,5,
1901-10-12,Saturday,2,
1901-10-13,Sunday,0,Sunday
1901-10-14,Monday,5,
1901-10-15,Tuesday,5,
1901-10-16,Wednesday,5,
1901-10-17,Thursday,5,
1901-10-18,Friday,5,
1901-10-19,Saturday,2,
1901-10-20,Sunday,0,Sunday
1901-10-21,Monday,5,
1901-10-22,Tuesday,5,
1901-10-23,Wednesday,5,
1901-10-24,Thursday,5,
1901-10-25,Friday,5,
1901-10-26,Saturday,2,
1901-10-27,Sunday,0,Sunday
1901-10-28,Monday,5,
1901-10-29,Tuesday,5,
1901-10-30,Wednesday,4,
1901-10-31,Thursday,5,
1901-11-01,Friday,5,
1901-11-02,Saturday,2,
1901-11-03,Sunday,0,Sunday
1901-11-04,Monday,5,
1901-11-05,Tuesday,5,
1901-11-06,Wednesday,5,
1901-11-07,Thursday,5,
1901-11-08,Friday,5,
1901-11-09,Saturday,2,
1901-11-10,Sunday,0,Sunday
1901-11-11,Monday,0,King's Birthday
1901-11-12,Tuesday,5,
1901-11-13,Wednesday,5,
1901-11-14,Thursday,5,
1901-11-15,Friday,5,
1901-11-16,Saturday,2,
1901-11-17,Sunday,0,Sunday
