date,day,pages,reason
1913-05-01,Thursday,5,
1913-05-02,Friday,5,
1913-05-03,Saturday,2,
1913-05-04,Sunday,0,Sunday
1913-05-05,Monday,5,
1913-05-06,Tuesday,5,
1913-05-07,Wednesday,5,
1913-05-08,Thursday,5,
1913-05-09,Friday,5,
1913-05-10,Saturday,2,
1913-05-11,Sunday,0,Sunday
1913-05-12,Monday,5,
1913-05-13,Tuesday,5,
1913-05-14,Wednesday,5,
1913-05-15,Thursday,4,
1913-05-16,Friday,5,
1913-05-17,Saturday,2,
1913-05-18,Sunday,0,Sunday
1913-05-19,Monday,5,
1913-05-20,Tuesday,5,
1913-05-21,Wednesday,5,
1913-05-22,Thursday,5,
1913-05-23,Friday,5,
1913-05-24,Saturday,2,
1913-05-25,Sunday,0,Sunday
1913-05-26,Monday,5,
1913-05-27,Tuesday,5,
1913-05-28,Wednesday,5,
1913-05-29,Thursday,5,
1913-05-30,Friday,5,
1913-05-31,Saturday,2,
1913-06-01,Sunday,0,Sunday
1913-06-02,Monday,5,
1913-06-03,Tuesday,5,
1913-06-04,Wednesday,4,
1913-06-05,Thursday,5,
1913-06-06,Friday,5,
1913-06-07,Saturday,2,
1913-06-08,Sunday,0,Sunday
1913-06-09,Monday,0,King's Birthday
1913-06-10,Tuesday,5,
1913-06-11,Wednesday,5,
1913-06-12,Thursday,5,
1913-06-13,Friday,5,
1913-06-14,Saturday,2,
1913-06-15,Sunday,0,Sunday
1913-06-16,Monday,5,
1913-06-17,Tuesday,5,
1913-06-18,Wednesday,5,
1913-06-19,Thursday,5,
1913-06-20,Friday,5,
1913-06-21,Saturday,2,
1913-06-22,Sunday,0,Sunday
1913-06-23,Monday,0,Prince of Wales's Birthday
1913-06-24,Tuesday,5,
1913-06-25,Wednesday,5,
1913-06-26,Thursday,5,
1913-06-27,Friday,5,
1913-06-28,Saturday,2,
1913-06-29,Sunday,0,Sunday
1913-06-30,Monday,4,
1913-07-01,Tuesday,5,
1913-07-02,Wednesday,5,
1913-07-03,Thursday,5,
1913-07-04,Friday,5,
1913-07-05,Saturday,2,
1913-07-06,Sunday,0,Sunday
1913-07-07,Monday,5,
1913-07-08,Tuesday,5,
1913-07-09,Wednesday,5,
1913-07-10,Thursday,5,
1913-07-11,Friday,5,
1913-07-12,Saturday,2,
1913-07-13,Sunday,0,Sunday
1913-07-14,Monday,5,
1913-07-15,Tuesday,5,
1913-07-16,Wednesday,5,
1913-07-17,Thursday,5,
1913-07-18,Friday,5,
1913-07-19,Saturday,2,
1913-07-20,Sunday,0,Sunday
1913-07-21,Monday,5,
1913-07-22,Tuesday,5,
1913-07-23,Wednesday,5,
1913-07-24,Thursday,5,
1913-07-25,Friday,5,
1913-07-26,Saturday,2,
1913-07-27,Sunday,0,Sunday
1913-07-28,Monday,5,
1913-07-29,Tuesday,5,
1913-07-30,Wednesday,5,
1913-07-31,Thursday,5,
1913-08-01,Friday,5,
1913-08-02,Saturday,2,
1913-08-03,Sunday,0,Sunday
1913-08-04,Monday,0,Bank Holiday
1913-08-05,Tuesday,5,
1913-08-06,Wednesday,5,
1913-08-07,Thursday,5,
1913-08-08,Friday,5,
1913-08-09,Saturday,2,
1913-08-10,Sunday,0,Sunday
1913-08-11,Monday,5,
1913-08-12,Tuesday,5,
1913-08-13,Wednesday,5,
1913-08-14,Thursday,5,
1913-08-15,Friday,5,
1913-08-16,Saturday,2,
1913-08-17,Sunday,0,Sunday
1913-08-18,Monday,5,
1913-08-19,Tuesday,5,
1913-08-20,Wednesday,5,
1913-08-21,Thursday,5,
1913-08-22,Friday,5,
1913-08-23,Saturday,2,
1913-08-24,Sunday,0,Sunday
1913-08-25,Monday,5,
1913-08-26,Tuesday,5,
1913-08-27,Wednesday,5,
1913-08-28,Thursday,5,
1913-08-29,Friday,5,
1913-08-30,Saturday,2,
1913-08-31,Sunday,0,Sunday
1913-09-01,Monday,5,
1913-09-02,Tuesday,5,
1913-09-03,Wednesday,5,
1913-09-04,Thursday,5,
1913-09-05,Friday,5,
1913-09-06,Saturday,2,
1913-09-07,Sunday,0,Sunday
1913-09-08,Monday,5,
1913-09-09,Tuesday,5,
1913-09-10,Wednesday,5,
1913-09-11,Thursday,5,
1913-09-12,Friday,5,
1913-09-13,Saturday,2,
1913-09-14,Sunday,0,Sunday
1913-09-15,Monday,5,
1913-09-16,Tuesday,5,
1913-09-17,Wednesday,5,
1913-09-18,Thursday,5,
1913-09-19,Friday,5,
1913-09-20,Saturday,2,
1913-09-21,Sunday,0,Sunday
1913-09-22,Monday,5,
1913-09-23,Tuesday,5,
1913-09-24,Wednesday,5,
1913-09-25,Thursday,5,
1913-09-26,Friday,5,
1913-09-27,Saturday,2,
1913-09-28,Sunday,0,Sunday
1913-09-29,Monday,5,
1913-09-30,Tuesday,5,
1913-10-01,Wednesday,5,
1913-10-02,Thursday,5,
1913-10-03,Friday,5,
1913-10-04,Saturday,0,Closed on Saturday as well as holiday Monday -- see http://nla.gov.au/nla.news-article15454723
1913-10-05,Sunday,0,Sunday
1913-10-06,Monday,0,Labour Day
1913-10-07,Tuesday,5,
1913-10-08,Wednesday,5,
1913-10-09,Thursday,5,
1913-10-10,Friday,5,
1913-10-11,Saturday,2,
1913-10-12,Sunday,0,Sunday
1913-10-13,Monday,5,
1913-10-14,Tuesday,5,
1913-10-15,Wednesday,5,
1913-10-16,Thursday,5,
1913-10-17,Friday,5,
1913-10-18,Saturday,2,
1913-10-19,Sunday,0,Sunday
1913-10-20,Monday,5,
1913-10-21,Tuesday,5,
1913-10-22,Wednesday,5,
1913-10-23,Thursday,5,
1913-10-24,Friday,5,
1913-10-25,Saturday,2,
1913-10-26,Sunday,0,Sunday
1913-10-27,Monday,5,
1913-10-28,Tuesday,5,
1913-10-29,Wednesday,5,
1913-10-30,Thursday,5,
1913-10-31,Friday,5,
1913-11-01,Saturday,2,
1913-11-02,Sunday,0,Sunday
1913-11-03,Monday,5,
1913-11-04,Tuesday,5,
1913-11-05,Wednesday,5,
1913-11-06,Thursday,5,
1913-11-07,Friday,3,
1913-11-08,Saturday,2,
1913-11-09,Sunday,0,Sunday
1913-11-10,Monday,5,
1913-11-11,Tuesday,5,
1913-11-12,Wednesday,5,
1913-11-13,Thursday,5,
1913-11-14,Friday,5,
1913-11-15,Saturday,2,
1913-11-16,Sunday,0,Sunday
1913-11-17,Monday,5,
1913-11-18,Tuesday,5,
1913-11-19,Wednesday,5,
1913-11-20,Thursday,5,
1913-11-21,Friday,5,
1913-11-22,Saturday,2,
1913-11-23,Sunday,0,Sunday
1913-11-24,Monday,5,
1913-11-25,Tuesday,5,
1913-11-26,Wednesday,5,
1913-11-27,Thursday,5,
1913-11-28,Friday,5,
1913-11-29,Saturday,2,
1913-11-30,Sunday,0,Sunday
1913-12-01,Monday,5,
1913-12-02,Tuesday,5,
1913-12-03,Wednesday,5,
1913-12-04,Thursday,5,
1913-12-05,Friday,5,
1913-12-06,Saturday,2,
1913-12-07,Sunday,0,Sunday
1913-12-08,Monday,5,
1913-12-09,Tuesday,5,
1913-12-10,Wednesday,5,
1913-12-11,Thursday,5,
1913-12-12,Friday,5,
1913-12-13,Saturday,2,
1913-12-14,Sunday,0,Sunday
1913-12-15,Monday,5,
1913-12-16,Tuesday,5,
1913-12-17,Wednesday,5,
1913-12-18,Thursday,5,
1913-12-19,Friday,5,
1913-12-20,Saturday,1,
1913-12-21,Sunday,0,Sunday
1913-12-22,Monday,5,
1913-12-23,Tuesday,4,
1913-12-24,Wednesday,0,No pages
1913-12-25,Thursday,0,Christmas Day
1913-12-26,Friday,0,Boxing Day
1913-12-27,Saturday,0,No pages
1913-12-28,Sunday,0,Sunday
1913-12-29,Monday,0,No pages
1913-12-30,Tuesday,0,No pages
1913-12-31,Wednesday,0,No pages
1914-01-01,Thursday,0,New Years day
1914-01-02,Friday,0,No pages
1914-01-03,Saturday,0,No pages
1914-01-04,Sunday,0,Sunday
1914-01-05,Monday,5,
1914-01-06,Tuesday,5,
1914-01-07,Wednesday,5,
1914-01-08,Thursday,5,
1914-01-09,Friday,5,
1914-01-10,Saturday,2,
1914-01-11,Sunday,0,Sunday
1914-01-12,Monday,5,
1914-01-13,Tuesday,5,
1914-01-14,Wednesday,5,
1914-01-15,Thursday,5,
1914-01-16,Friday,5,
1914-01-17,Saturday,2,
1914-01-18,Sunday,0,Sunday
1914-01-19,Monday,5,
1914-01-20,Tuesday,5,
1914-01-21,Wednesday,5,
1914-01-22,Thursday,5,
1914-01-23,Friday,5,
1914-01-24,Saturday,2,
1914-01-25,Sunday,0,Sunday
1914-01-26,Monday,0,Anniversary Day
1914-01-27,Tuesday,5,
1914-01-28,Wednesday,5,
1914-01-29,Thursday,5,
1914-01-30,Friday,5,
1914-01-31,Saturday,2,
1914-02-01,Sunday,0,Sunday
1914-02-02,Monday,5,
1914-02-03,Tuesday,5,
1914-02-04,Wednesday,5,
1914-02-05,Thursday,5,
1914-02-06,Friday,5,
1914-02-07,Saturday,2,
1914-02-08,Sunday,0,Sunday
1914-02-09,Monday,4,
1914-02-10,Tuesday,5,
1914-02-11,Wednesday,5,
1914-02-12,Thursday,5,
1914-02-13,Friday,5,
1914-02-14,Saturday,2,
1914-02-15,Sunday,0,Sunday
1914-02-16,Monday,5,
1914-02-17,Tuesday,5,
1914-02-18,Wednesday,5,
1914-02-19,Thursday,5,
1914-02-20,Friday,5,
1914-02-21,Saturday,2,
1914-02-22,Sunday,0,Sunday
1914-02-23,Monday,3,
1914-02-24,Tuesday,5,
1914-02-25,Wednesday,5,
1914-02-26,Thursday,4,
1914-02-27,Friday,5,
1914-02-28,Saturday,2,
1914-03-01,Sunday,0,Sunday
1914-03-02,Monday,5,
1914-03-03,Tuesday,5,
1914-03-04,Wednesday,5,
1914-03-05,Thursday,5,
1914-03-06,Friday,5,
1914-03-07,Saturday,2,
1914-03-08,Sunday,0,Sunday
1914-03-09,Monday,5,
1914-03-10,Tuesday,5,
1914-03-11,Wednesday,5,
1914-03-12,Thursday,5,
1914-03-13,Friday,5,
1914-03-14,Saturday,2,
1914-03-15,Sunday,0,Sunday
1914-03-16,Monday,5,
1914-03-17,Tuesday,5,
1914-03-18,Wednesday,5,
1914-03-19,Thursday,5,
1914-03-20,Friday,5,
1914-03-21,Saturday,2,
1914-03-22,Sunday,0,Sunday
1914-03-23,Monday,5,
1914-03-24,Tuesday,5,
1914-03-25,Wednesday,5,
1914-03-26,Thursday,5,
1914-03-27,Friday,5,
1914-03-28,Saturday,2,
1914-03-29,Sunday,0,Sunday
1914-03-30,Monday,5,
1914-03-31,Tuesday,5,
1914-04-01,Wednesday,5,
1914-04-02,Thursday,5,
1914-04-03,Friday,5,
1914-04-04,Saturday,2,
1914-04-05,Sunday,0,Sunday
1914-04-06,Monday,5,
1914-04-07,Tuesday,5,
1914-04-08,Wednesday,5,
1914-04-09,Thursday,3,
1914-04-10,Friday,0,Good Friday
1914-04-11,Saturday,0,Easter Saturday
1914-04-12,Sunday,0,Sunday
1914-04-13,Monday,0,Easter Monday
1914-04-14,Tuesday,0,Easter Tuesday
1914-04-15,Wednesday,0,Easter Wednesday
1914-04-16,Thursday,5,
1914-04-17,Friday,5,
1914-04-18,Saturday,2,
1914-04-19,Sunday,0,Sunday
1914-04-20,Monday,5,
1914-04-21,Tuesday,5,
1914-04-22,Wednesday,5,
1914-04-23,Thursday,5,
1914-04-24,Friday,5,
1914-04-25,Saturday,2,
1914-04-26,Sunday,0,Sunday
1914-04-27,Monday,5,
1914-04-28,Tuesday,5,
1914-04-29,Wednesday,5,
1914-04-30,Thursday,5,
1914-05-01,Friday,5,
1914-05-02,Saturday,2,
1914-05-03,Sunday,0,Sunday
1914-05-04,Monday,5,
1914-05-05,Tuesday,5,
1914-05-06,Wednesday,5,
1914-05-07,Thursday,5,
1914-05-08,Friday,5,
1914-05-09,Saturday,2,
1914-05-10,Sunday,0,Sunday
1914-05-11,Monday,5,
1914-05-12,Tuesday,5,
1914-05-13,Wednesday,5,
1914-05-14,Thursday,5,
1914-05-15,Friday,5,
1914-05-16,Saturday,2,
1914-05-17,Sunday,0,Sunday
1914-05-18,Monday,5,
1914-05-19,Tuesday,5,
1914-05-20,Wednesday,5,
1914-05-21,Thursday,5,
1914-05-22,Friday,5,
1914-05-23,Saturday,2,
1914-05-24,Sunday,0,Sunday
1914-05-25,Monday,5,
1914-05-26,Tuesday,5,
1914-05-27,Wednesday,5,
1914-05-28,Thursday,5,
1914-05-29,Friday,5,
1914-05-30,Saturday,2,
1914-05-31,Sunday,0,Sunday
1914-06-01,Monday,5,
1914-06-02,Tuesday,5,
1914-06-03,Wednesday,5,
1914-06-04,Thursday,5,
1914-06-05,Friday,5,
1914-06-06,Saturday,2,
1914-06-07,Sunday,0,Sunday
1914-06-08,Monday,0,King's Birthday
1914-06-09,Tuesday,5,
1914-06-10,Wednesday,5,
1914-06-11,Thursday,5,
1914-06-12,Friday,5,
1914-06-13,Saturday,2,
1914-06-14,Sunday,0,Sunday
1914-06-15,Monday,5,
1914-06-16,Tuesday,5,
1914-06-17,Wednesday,5,
1914-06-18,Thursday,3,
1914-06-19,Friday,5,
1914-06-20,Saturday,2,
1914-06-21,Sunday,0,Sunday
1914-06-22,Monday,5,
1914-06-23,Tuesday,5,
1914-06-24,Wednesday,5,
1914-06-25,Thursday,5,
1914-06-26,Friday,5,
1914-06-27,Saturday,2,
1914-06-28,Sunday,0,Sunday
1914-06-29,Monday,0,Prince of Wales's Birthday
1914-06-30,Tuesday,5,
1914-07-01,Wednesday,5,
1914-07-02,Thursday,5,
1914-07-03,Friday,5,
1914-07-04,Saturday,2,
1914-07-05,Sunday,0,Sunday
1914-07-06,Monday,5,
1914-07-07,Tuesday,5,
1914-07-08,Wednesday,5,
1914-07-09,Thursday,5,
1914-07-10,Friday,5,
1914-07-11,Saturday,2,
1914-07-12,Sunday,0,Sunday
1914-07-13,Monday,5,
1914-07-14,Tuesday,5,
1914-07-15,Wednesday,5,
1914-07-16,Thursday,5,
1914-07-17,Friday,5,
1914-07-18,Saturday,2,
1914-07-19,Sunday,0,Sunday
1914-07-20,Monday,5,
1914-07-21,Tuesday,5,
1914-07-22,Wednesday,5,
1914-07-23,Thursday,5,
1914-07-24,Friday,5,
1914-07-25,Saturday,2,
1914-07-26,Sunday,0,Sunday
1914-07-27,Monday,5,
1914-07-28,Tuesday,5,
1914-07-29,Wednesday,5,
1914-07-30,Thursday,5,
1914-07-31,Friday,5,
1914-08-01,Saturday,2,
1914-08-02,Sunday,0,Sunday
1914-08-03,Monday,0,Bank Holiday
1914-08-04,Tuesday,0,No pages
1914-08-05,Wednesday,0,No pages
1914-08-06,Thursday,0,No pages
1914-08-07,Friday,0,No pages
1914-08-08,Saturday,0,No pages
1914-08-09,Sunday,0,Sunday
1914-08-10,Monday,0,No pages
1914-08-11,Tuesday,0,No pages
1914-08-12,Wednesday,0,No pages
1914-08-13,Thursday,0,No pages
1914-08-14,Friday,0,No pages
1914-08-15,Saturday,0,No pages
1914-08-16,Sunday,0,Sunday
1914-08-17,Monday,0,No pages
1914-08-18,Tuesday,0,No pages
1914-08-19,Wednesday,0,No pages
1914-08-20,Thursday,0,No pages
1914-08-21,Friday,0,No pages
1914-08-22,Saturday,0,No pages
1914-08-23,Sunday,0,Sunday
1914-08-24,Monday,0,No pages
1914-08-25,Tuesday,0,No pages
1914-08-26,Wednesday,0,No pages
1914-08-27,Thursday,0,No pages
1914-08-28,Friday,0,No pages
1914-08-29,Saturday,0,No pages
1914-08-30,Sunday,0,Sunday
1914-08-31,Monday,0,No pages
1914-09-01,Tuesday,0,No pages
1914-09-02,Wednesday,0,No pages
1914-09-03,Thursday,0,No pages
1914-09-04,Friday,0,No pages
1914-09-05,Saturday,0,No pages
1914-09-06,Sunday,0,Sunday
1914-09-07,Monday,0,No pages
1914-09-08,Tuesday,0,No pages
1914-09-09,Wednesday,0,No pages
1914-09-10,Thursday,0,No pages
1914-09-11,Friday,0,No pages
1914-09-12,Saturday,0,No pages
1914-09-13,Sunday,0,Sunday
1914-09-14,Monday,0,No pages
1914-09-15,Tuesday,0,No pages
1914-09-16,Wednesday,0,No pages
1914-09-17,Thursday,0,No pages
1914-09-18,Friday,0,No pages
1914-09-19,Saturday,0,No pages
1914-09-20,Sunday,0,Sunday
1914-09-21,Monday,5,
1914-09-22,Tuesday,5,
1914-09-23,Wednesday,5,
1914-09-24,Thursday,5,
1914-09-25,Friday,5,
1914-09-26,Saturday,2,
1914-09-27,Sunday,0,Sunday
1914-09-28,Monday,5,
1914-09-29,Tuesday,5,
1914-09-30,Wednesday,5,
1914-10-01,Thursday,5,
1914-10-02,Friday,5,
1914-10-03,Saturday,2,
1914-10-04,Sunday,0,Sunday
1914-10-05,Monday,0,Labour Day
1914-10-06,Tuesday,3,
1914-10-07,Wednesday,5,
1914-10-08,Thursday,5,
1914-10-09,Friday,5,
1914-10-10,Saturday,2,
1914-10-11,Sunday,0,Sunday
1914-10-12,Monday,5,
1914-10-13,Tuesday,5,
1914-10-14,Wednesday,5,
1914-10-15,Thursday,5,
1914-10-16,Friday,5,
1914-10-17,Saturday,2,
1914-10-18,Sunday,0,Sunday
1914-10-19,Monday,5,
1914-10-20,Tuesday,5,
1914-10-21,Wednesday,5,
1914-10-22,Thursday,5,
1914-10-23,Friday,5,
1914-10-24,Saturday,2,
1914-10-25,Sunday,0,Sunday
1914-10-26,Monday,5,
1914-10-27,Tuesday,5,
1914-10-28,Wednesday,5,
1914-10-29,Thursday,5,
1914-10-30,Friday,5,
1914-10-31,Saturday,2,
1914-11-01,Sunday,0,Sunday
1914-11-02,Monday,5,
1914-11-03,Tuesday,5,
1914-11-04,Wednesday,5,
1914-11-05,Thursday,5,
1914-11-06,Friday,5,
1914-11-07,Saturday,2,
1914-11-08,Sunday,0,Sunday
1914-11-09,Monday,5,
1914-11-10,Tuesday,5,
1914-11-11,Wednesday,5,
1914-11-12,Thursday,5,
1914-11-13,Friday,5,
1914-11-14,Saturday,2,
1914-11-15,Sunday,0,Sunday
1914-11-16,Monday,5,
1914-11-17,Tuesday,5,
1914-11-18,Wednesday,5,
1914-11-19,Thursday,5,
1914-11-20,Friday,5,
1914-11-21,Saturday,2,
1914-11-22,Sunday,0,Sunday
1914-11-23,Monday,5,
1914-11-24,Tuesday,5,
1914-11-25,Wednesday,5,
1914-11-26,Thursday,5,
1914-11-27,Friday,5,
1914-11-28,Saturday,2,
1914-11-29,Sunday,0,Sunday
1914-11-30,Monday,5,
1914-12-01,Tuesday,5,
1914-12-02,Wednesday,5,
1914-12-03,Thursday,5,
1914-12-04,Friday,5,
1914-12-05,Saturday,2,
1914-12-06,Sunday,0,Sunday
1914-12-07,Monday,5,
1914-12-08,Tuesday,5,
1914-12-09,Wednesday,5,
1914-12-10,Thursday,5,
1914-12-11,Friday,5,
1914-12-12,Saturday,2,
1914-12-13,Sunday,0,Sunday
1914-12-14,Monday,5,
1914-12-15,Tuesday,5,
1914-12-16,Wednesday,5,
1914-12-17,Thursday,5,
1914-12-18,Friday,5,
1914-12-19,Saturday,2,
1914-12-20,Sunday,0,Sunday
1914-12-21,Monday,5,
1914-12-22,Tuesday,5,
1914-12-23,Wednesday,3,
1914-12-24,Thursday,0,No pages
1914-12-25,Friday,0,Christmas Day
1914-12-26,Saturday,0,Boxing Day
1914-12-27,Sunday,0,Sunday
1914-12-28,Monday,0,No pages
1914-12-29,Tuesday,0,No pages
1914-12-30,Wednesday,0,No pages
1914-12-31,Thursday,0,No pages
1915-01-01,Friday,0,New Years day
1915-01-02,Saturday,0,No pages
1915-01-03,Sunday,0,Sunday
1915-01-04,Monday,0,No pages
1915-01-05,Tuesday,0,No pages
1915-01-06,Wednesday,0,No pages
1915-01-07,Thursday,5,
1915-01-08,Friday,5,
1915-01-09,Saturday,2,
1915-01-10,Sunday,0,Sunday
1915-01-11,Monday,5,
1915-01-12,Tuesday,5,
1915-01-13,Wednesday,5,
1915-01-14,Thursday,5,
1915-01-15,Friday,5,
1915-01-16,Saturday,2,
1915-01-17,Sunday,0,Sunday
1915-01-18,Monday,5,
1915-01-19,Tuesday,5,
1915-01-20,Wednesday,5,
1915-01-21,Thursday,5,
1915-01-22,Friday,5,
1915-01-23,Saturday,2,
1915-01-24,Sunday,0,Sunday
1915-01-25,Monday,5,
1915-01-26,Tuesday,0,Anniversary Day
1915-01-27,Wednesday,5,
1915-01-28,Thursday,5,
1915-01-29,Friday,5,
1915-01-30,Saturday,2,
1915-01-31,Sunday,0,Sunday
1915-02-01,Monday,5,
1915-02-02,Tuesday,5,
1915-02-03,Wednesday,5,
1915-02-04,Thursday,5,
1915-02-05,Friday,5,
1915-02-06,Saturday,2,
1915-02-07,Sunday,0,Sunday
1915-02-08,Monday,5,
1915-02-09,Tuesday,5,
1915-02-10,Wednesday,5,
1915-02-11,Thursday,5,
1915-02-12,Friday,5,
1915-02-13,Saturday,2,
1915-02-14,Sunday,0,Sunday
1915-02-15,Monday,5,
1915-02-16,Tuesday,5,
1915-02-17,Wednesday,5,
1915-02-18,Thursday,5,
1915-02-19,Friday,5,
1915-02-20,Saturday,2,
1915-02-21,Sunday,0,Sunday
1915-02-22,Monday,5,
1915-02-23,Tuesday,5,
1915-02-24,Wednesday,5,
1915-02-25,Thursday,5,
1915-02-26,Friday,5,
1915-02-27,Saturday,2,
1915-02-28,Sunday,0,Sunday
1915-03-01,Monday,5,
1915-03-02,Tuesday,5,
1915-03-03,Wednesday,5,
1915-03-04,Thursday,5,
1915-03-05,Friday,5,
1915-03-06,Saturday,2,
1915-03-07,Sunday,0,Sunday
1915-03-08,Monday,5,
1915-03-09,Tuesday,5,
1915-03-10,Wednesday,5,
1915-03-11,Thursday,5,
1915-03-12,Friday,5,
1915-03-13,Saturday,2,
1915-03-14,Sunday,0,Sunday
1915-03-15,Monday,5,
1915-03-16,Tuesday,5,
1915-03-17,Wednesday,5,
1915-03-18,Thursday,5,
1915-03-19,Friday,5,
1915-03-20,Saturday,2,
1915-03-21,Sunday,0,Sunday
1915-03-22,Monday,5,
1915-03-23,Tuesday,5,
1915-03-24,Wednesday,5,
1915-03-25,Thursday,4,
1915-03-26,Friday,5,
1915-03-27,Saturday,2,
1915-03-28,Sunday,0,Sunday
1915-03-29,Monday,5,
1915-03-30,Tuesday,5,
1915-03-31,Wednesday,5,
1915-04-01,Thursday,0,No pages
1915-04-02,Friday,0,Good Friday
1915-04-03,Saturday,0,Easter Saturday
1915-04-04,Sunday,0,Sunday
1915-04-05,Monday,0,Easter Monday
1915-04-06,Tuesday,0,No pages
1915-04-07,Wednesday,0,No pages
1915-04-08,Thursday,5,
1915-04-09,Friday,5,
1915-04-10,Saturday,2,
1915-04-11,Sunday,0,Sunday
1915-04-12,Monday,5,
1915-04-13,Tuesday,5,
1915-04-14,Wednesday,5,
1915-04-15,Thursday,5,
1915-04-16,Friday,5,
1915-04-17,Saturday,2,
1915-04-18,Sunday,0,Sunday
1915-04-19,Monday,5,
1915-04-20,Tuesday,5,
1915-04-21,Wednesday,5,
1915-04-22,Thursday,5,
1915-04-23,Friday,5,
1915-04-24,Saturday,2,
1915-04-25,Sunday,0,Sunday
1915-04-26,Monday,5,
1915-04-27,Tuesday,5,
1915-04-28,Wednesday,5,
1915-04-29,Thursday,5,
1915-04-30,Friday,5,
1915-05-01,Saturday,2,
1915-05-02,Sunday,0,Sunday
1915-05-03,Monday,5,
1915-05-04,Tuesday,5,
1915-05-05,Wednesday,5,
1915-05-06,Thursday,5,
1915-05-07,Friday,5,
1915-05-08,Saturday,2,
1915-05-09,Sunday,0,Sunday
1915-05-10,Monday,5,
1915-05-11,Tuesday,5,
1915-05-12,Wednesday,5,
1915-05-13,Thursday,5,
1915-05-14,Friday,5,
1915-05-15,Saturday,2,
1915-05-16,Sunday,0,Sunday
1915-05-17,Monday,5,
1915-05-18,Tuesday,5,
1915-05-19,Wednesday,5,
1915-05-20,Thursday,5,
1915-05-21,Friday,5,
1915-05-22,Saturday,2,
1915-05-23,Sunday,0,Sunday
1915-05-24,Monday,0,Empire Day
1915-05-25,Tuesday,5,
1915-05-26,Wednesday,5,
1915-05-27,Thursday,5,
1915-05-28,Friday,5,
1915-05-29,Saturday,2,
1915-05-30,Sunday,0,Sunday
1915-05-31,Monday,5,
1915-06-01,Tuesday,5,
1915-06-02,Wednesday,5,
1915-06-03,Thursday,5,
1915-06-04,Friday,5,
1915-06-05,Saturday,2,
1915-06-06,Sunday,0,Sunday
1915-06-07,Monday,0,King's Birthday
1915-06-08,Tuesday,5,
1915-06-09,Wednesday,5,
1915-06-10,Thursday,5,
1915-06-11,Friday,5,
1915-06-12,Saturday,2,
1915-06-13,Sunday,0,Sunday
1915-06-14,Monday,5,
1915-06-15,Tuesday,5,
1915-06-16,Wednesday,5,
1915-06-17,Thursday,5,
1915-06-18,Friday,5,
1915-06-19,Saturday,2,
1915-06-20,Sunday,0,Sunday
1915-06-21,Monday,5,
1915-06-22,Tuesday,5,
1915-06-23,Wednesday,5,
1915-06-24,Thursday,5,
1915-06-25,Friday,5,
1915-06-26,Saturday,2,
1915-06-27,Sunday,0,Sunday
1915-06-28,Monday,0,Prince of Wales's Birthday
1915-06-29,Tuesday,5,
1915-06-30,Wednesday,5,
1915-07-01,Thursday,4,
1915-07-02,Friday,5,
1915-07-03,Saturday,2,
1915-07-04,Sunday,0,Sunday
1915-07-05,Monday,5,
1915-07-06,Tuesday,5,
1915-07-07,Wednesday,5,
1915-07-08,Thursday,5,
1915-07-09,Friday,5,
1915-07-10,Saturday,2,
1915-07-11,Sunday,0,Sunday
1915-07-12,Monday,5,
1915-07-13,Tuesday,5,
1915-07-14,Wednesday,5,
1915-07-15,Thursday,5,
1915-07-16,Friday,5,
1915-07-17,Saturday,2,
1915-07-18,Sunday,0,Sunday
1915-07-19,Monday,5,
1915-07-20,Tuesday,5,
1915-07-21,Wednesday,5,
1915-07-22,Thursday,5,
1915-07-23,Friday,5,
1915-07-24,Saturday,2,
1915-07-25,Sunday,0,Sunday
1915-07-26,Monday,5,
1915-07-27,Tuesday,5,
1915-07-28,Wednesday,5,
1915-07-29,Thursday,5,
1915-07-30,Friday,4,
1915-07-31,Saturday,2,
1915-08-01,Sunday,0,Sunday
1915-08-02,Monday,0,Bank Holiday
1915-08-03,Tuesday,5,
1915-08-04,Wednesday,5,
1915-08-05,Thursday,4,
1915-08-06,Friday,5,
1915-08-07,Saturday,2,
1915-08-08,Sunday,0,Sunday
1915-08-09,Monday,5,
1915-08-10,Tuesday,4,
1915-08-11,Wednesday,5,
1915-08-12,Thursday,5,
1915-08-13,Friday,5,
1915-08-14,Saturday,2,
1915-08-15,Sunday,0,Sunday
1915-08-16,Monday,5,
1915-08-17,Tuesday,5,
1915-08-18,Wednesday,5,
1915-08-19,Thursday,5,
1915-08-20,Friday,5,
1915-08-21,Saturday,2,
1915-08-22,Sunday,0,Sunday
1915-08-23,Monday,5,
1915-08-24,Tuesday,5,
1915-08-25,Wednesday,5,
1915-08-26,Thursday,5,
1915-08-27,Friday,5,
1915-08-28,Saturday,2,
1915-08-29,Sunday,0,Sunday
1915-08-30,Monday,5,
1915-08-31,Tuesday,5,
1915-09-01,Wednesday,5,
1915-09-02,Thursday,5,
1915-09-03,Friday,5,
1915-09-04,Saturday,2,
1915-09-05,Sunday,0,Sunday
1915-09-06,Monday,5,
1915-09-07,Tuesday,5,
1915-09-08,Wednesday,5,
1915-09-09,Thursday,5,
1915-09-10,Friday,5,
1915-09-11,Saturday,2,
1915-09-12,Sunday,0,Sunday
1915-09-13,Monday,5,
1915-09-14,Tuesday,5,
1915-09-15,Wednesday,5,
1915-09-16,Thursday,5,
1915-09-17,Friday,5,
1915-09-18,Saturday,2,
1915-09-19,Sunday,0,Sunday
